L1,L2,Spherical,Coma,Astig,CLon,EFFL_mm,MS_d,GEO_over_Airy,RMS_over_Airy,GEO_R_avg_mm,RMS_R_avg_mm,EE_info,source_file,source_path,EE1,EE2,EE3,EE4
A86-82,F14HT,-16.61,-8.78,9.63,17.24,9127.188228,-1.29054e-05,44.74,24.92,99.611249,55.49729,"[21.4248857087741, 51.81746090160584, 51.73619156165485, 72.61914549696633]",metrics_A86-82_F14HT.txt,Results\metrics_A86-82_F14HT.txt,21.4248857087741,51.81746090160584,51.73619156165485,72.61914549696633
A86-82,F2HT,-19.77,-9.09,12.21,14.6,9127.204447,-1.2334e-05,37.77,19.1,84.095777,42.528844,"[18.407201181975175, 33.830670918566824, 33.72893429063728, 51.32979341030155]",metrics_A86-82_F2HT.txt,Results\metrics_A86-82_F2HT.txt,18.407201181975175,33.830670918566824,33.72893429063728,51.32979341030155
A86-82,F3,-19.18,-9.01,11.71,14.99,9127.204676,-1.6631e-05,39.45,19.52,87.839779,43.46147,"[22.68456814385205, 35.821345513324445, 35.49047394787469, 46.421725868779525]",metrics_A86-82_F3.txt,Results\metrics_A86-82_F3.txt,22.68456814385205,35.821345513324445,35.49047394787469,46.421725868779525
A86-82,F8,-19.58,-8.73,12.59,18.25,9127.202333,-1.13328e-05,55.52,28.65,123.631072,63.803506,"[23.571821936116137, 54.57409924498337, 54.508267922089274, 86.58826850209553]",metrics_A86-82_F8.txt,Results\metrics_A86-82_F8.txt,23.571821936116137,54.57409924498337,54.508267922089274,86.58826850209553
A86-82,F8HT,-19.59,-8.73,12.59,18.21,9127.202327,-1.35547e-05,52.43,28.23,116.75159,62.854167,"[24.182548419186425, 57.19348188614754, 57.40407065085274, 83.48971907485466]",metrics_A86-82_F8HT.txt,Results\metrics_A86-82_F8HT.txt,24.182548419186425,57.19348188614754,57.40407065085274,83.48971907485466
A86-82,LZ_F1,-18.32,-9.03,11.14,15.38,9127.189968,-1.69658e-05,39.6,19.85,88.181787,44.196465,"[23.085158544463162, 36.76323981178667, 36.309586609083865, 45.69915779806665]",metrics_A86-82_LZ_F1.txt,Results\metrics_A86-82_LZ_F1.txt,23.085158544463162,36.76323981178667,36.309586609083865,45.69915779806665
A86-82,LZ_F8,-19.89,-9.28,12.4,13.5,9127.192037,-1.7281e-05,37.63,20.36,83.796581,45.340084,"[17.599745903905553, 39.267184000601745, 38.71775645195996, 56.433473053811284]",metrics_A86-82_LZ_F8.txt,Results\metrics_A86-82_LZ_F8.txt,17.599745903905553,39.267184000601745,38.71775645195996,56.433473053811284
A86-82,PBM11,-19.75,-9.22,12.35,13.92,9127.191151,-2.22391e-05,38.34,22.32,85.362434,49.688727,"[20.001430967922772, 46.29246849870235, 46.417293862214905, 61.76271211250773]",metrics_A86-82_PBM11.txt,Results\metrics_A86-82_PBM11.txt,20.001430967922772,46.29246849870235,46.417293862214905,61.76271211250773
A86-82,PBM18Y,-20.44,-8.89,13.54,17.71,9127.192912,-1.5592e-05,51.24,27.84,114.091706,61.980116,"[26.387128316624143, 54.49780429035006, 54.04787796314821, 81.56427774542351]",metrics_A86-82_PBM18Y.txt,Results\metrics_A86-82_PBM18Y.txt,26.387128316624143,54.49780429035006,54.04787796314821,81.56427774542351
A86-82,PBM2Y,-19.78,-9.09,12.21,14.46,9127.204461,-1.26696e-05,37.55,19.14,83.613647,42.615536,"[18.025856720530733, 33.824630633439455, 33.8950798652715, 53.7933301568784]",metrics_A86-82_PBM2Y.txt,Results\metrics_A86-82_PBM2Y.txt,18.025856720530733,33.824630633439455,33.8950798652715,53.7933301568784
A86-82,PBM3,-18.31,-9.03,11.14,15.53,9127.189946,-1.63388e-05,40.09,19.98,89.266538,44.49897,"[23.720077391865498, 36.44789528831672, 36.23030789158098, 46.91423065442553]",metrics_A86-82_PBM3.txt,Results\metrics_A86-82_PBM3.txt,23.720077391865498,36.44789528831672,36.23030789158098,46.91423065442553
A86-82,PBM8Y,-19.57,-8.73,12.58,18.3,9127.202344,-1.34252e-05,52.92,28.38,117.825457,63.182258,"[24.07851627224816, 57.71921555330131, 57.36599653391704, 84.18568664235394]",metrics_A86-82_PBM8Y.txt,Results\metrics_A86-82_PBM8Y.txt,24.07851627224816,57.71921555330131,57.36599653391704,84.18568664235394
A86-82,SF7,-18.01,-9.75,8.64,11.82,9127.1944,-4.85742e-06,37.67,21.21,83.873354,47.230531,"[9.465832591990159, 45.24375667072549, 44.956984452009685, 59.88222566050378]",metrics_A86-82_SF7.txt,Results\metrics_A86-82_SF7.txt,9.465832591990159,45.24375667072549,44.956984452009685,59.88222566050378
A87-84,ADF355,-16.54,-9.6,7.19,18.26,9127.194895,8.57051e-06,51.46,23.11,114.572173,51.457858,"[36.396308039945865, 36.420014203415526, 36.458598197023065, 30.695658409926832]",metrics_A87-84_ADF355.txt,Results\metrics_A87-84_ADF355.txt,36.396308039945865,36.420014203415526,36.458598197023065,30.695658409926832
A87-84,BAFD1,-19.77,-9.22,12.3,16.02,9127.191823,-9.6152e-06,40.56,20.72,90.307896,46.13017,"[21.47375718313718, 38.536471926990714, 38.31151693550119, 48.98287349327494]",metrics_A87-84_BAFD1.txt,Results\metrics_A87-84_BAFD1.txt,21.47375718313718,38.536471926990714,38.31151693550119,48.98287349327494
A87-84,BAFD3,-17.39,-8.74,10.15,17.58,9127.205343,-1.18207e-05,48.25,25.43,107.432822,56.620543,"[22.709967899179283, 52.255722834193364, 51.79791306602832, 73.79718811822534]",metrics_A87-84_BAFD3.txt,Results\metrics_A87-84_BAFD3.txt,22.709967899179283,52.255722834193364,51.79791306602832,73.79718811822534
A87-84,C04-38,-17.13,-8.74,9.94,15.06,9127.205274,-1.41174e-05,38.65,19.92,86.065594,44.347734,"[22.619878264176833, 36.35531530869129, 36.48409170645063, 50.77425087797759]",metrics_A87-84_C04-38.txt,Results\metrics_A87-84_C04-38.txt,22.619878264176833,36.35531530869129,36.48409170645063,50.77425087797759
